index	sample
196	['CNhs10837', 'CNhs12495', 'CNhs11375', 'CNhs12022', 'CNhs12496', 'CNhs11977', 'CNhs12023']
197	['CNhs10865', 'CNhs11901', 'CNhs11906']
198	['CNhs11281']
199	['CNhs11925', 'CNhs11376', 'CNhs12024']
200	['CNhs11926', 'CNhs11978']
201	['CNhs10872', 'CNhs11967', 'CNhs12010']
202	['CNhs12497', 'CNhs11377', 'CNhs12026']
203	['CNhs12547', 'CNhs12548', 'CNhs12549']
204	['CNhs12847']
205	['CNhs11323', 'CNhs12083', 'CNhs12622']
206	['CNhs10620']
207	['CNhs13444', 'CNhs13442', 'CNhs13443', 'CNhs13441']
208	['CNhs13440']
209	['CNhs10737']
210	['CNhs11762']
211	['CNhs10874', 'CNhs11968', 'CNhs12011']
212	['CNhs12498', 'CNhs11378', 'CNhs12027', 'CNhs11909', 'CNhs12057', 'CNhs12061']
213	['CNhs11319', 'CNhs12344', 'CNhs12620']
214	['CNhs11339', 'CNhs12734']
215	['CNhs12499', 'CNhs11379', 'CNhs12028', 'CNhs12052', 'CNhs12055', 'CNhs12059']
216	['CNhs10866', 'CNhs11961', 'CNhs12006']
217	['CNhs12500', 'CNhs11380', 'CNhs12029']
218	['CNhs11322', 'CNhs12082', 'CNhs12118']
219	['CNhs11348', 'CNhs12103', 'CNhs12128']
220	['CNhs11723']
221	['CNhs11741']
222	['CNhs10867', 'CNhs11962', 'CNhs11907']
223	['CNhs10878']
224	['CNhs11353', 'CNhs11354', 'CNhs11913']
225	['CNhs11351', 'CNhs11914']
226	['CNhs11074', 'CNhs11911', 'CNhs11912']
227	['CNhs11352']
228	['CNhs11343', 'CNhs12099', 'CNhs12920']
229	['CNhs13445']
230	['CNhs10647']
231	['CNhs11256']
232	['CNhs12805']
233	['CNhs10733']
234	['CNhs12848']
235	['CNhs13914', 'CNhs13915']
236	['CNhs11061', 'CNhs11896', 'CNhs11903']
237	['CNhs11272']
238	['CNhs13801', 'CNhs12319', 'CNhs14549']
239	['CNhs14082']
240	['CNhs12519', 'CNhs12524', 'CNhs12528']
241	['CNhs11917', 'CNhs12824', 'CNhs12837']
242	['CNhs12501', 'CNhs11979', 'CNhs12030']
243	['CNhs11288']
244	['CNhs12339', 'CNhs12347', 'CNhs12855']
245	['CNhs12856']
246	['CNhs12857']
247	['CNhs11757']
248	['CNhs11758']
249	['CNhs10621']
250	['CNhs10653']
251	['CNhs12075', 'CNhs12092', 'CNhs12625']
252	['CNhs11335', 'CNhs12093', 'CNhs12627']
253	['CNhs12340', 'CNhs12349', 'CNhs12626']
254	['CNhs10739']
255	['CNhs13795', 'CNhs12312', 'CNhs14227']
256	['CNhs14081']
257	['CNhs14217', 'CNhs14218', 'CNhs14219']
258	['CNhs14214', 'CNhs14215', 'CNhs14216']
259	['CNhs13537', 'CNhs13480']
260	['CNhs10646']
261	['CNhs10875']
262	['CNhs12596']
263	['CNhs11064', 'CNhs11381', 'CNhs12031']
264	['CNhs10879']
265	['CNhs11849']
266	['CNhs11337', 'CNhs12095', 'CNhs12921']
267	['CNhs10622']
268	['CNhs10652']
269	['CNhs11825']
270	['CNhs11790']
271	['CNhs11789']
272	['CNhs11750']
273	['CNhs12342', 'CNhs12568', 'CNhs12572']
274	['CNhs11851']
275	['CNhs10624']
276	['CNhs10730']
277	['CNhs11798']
278	['CNhs13808', 'CNhs12322', 'CNhs14550']
279	['CNhs14080']
280	['CNhs10726']
281	['CNhs10625']
282	['CNhs11680']
283	['CNhs11786']
284	['CNhs11788']
285	['CNhs11852']
286	['CNhs10861', 'CNhs11899', 'CNhs12003']
287	['CNhs12808']
288	['CNhs12538', 'CNhs13550', 'CNhs13551']
289	['CNhs11077', 'CNhs11382', 'CNhs12032']
290	['CNhs12566', 'CNhs12594', 'CNhs12593', 'CNhs12592', 'CNhs13924', 'CNhs13926']
291	['CNhs12558', 'CNhs12559', 'CNhs12560', 'CNhs12562']
292	['CNhs13796', 'CNhs12310', 'CNhs14221']
293	['CNhs14069']
294	['CNhs13809', 'CNhs12316', 'CNhs14229', 'CNhs14552']
295	['CNhs14070']
296	['CNhs13800', 'CNhs12315', 'CNhs10645']
297	['CNhs14079']
298	['CNhs11861']
299	['CNhs12591', 'CNhs12346', 'CNhs12570']
300	['CNhs11303', 'CNhs11383', 'CNhs12033']
301	['CNhs12816', 'CNhs13156', 'CNhs13406']
302	['CNhs11320', 'CNhs12080', 'CNhs12731']
303	['CNhs12363', 'CNhs12364', 'CNhs12365']
304	['CNhs12366', 'CNhs12367', 'CNhs13098']
305	['CNhs12368', 'CNhs12369', 'CNhs12370', 'CNhs12371']
306	['CNhs12372', 'CNhs13092', 'CNhs12376', 'CNhs13094']
307	['CNhs12374', 'CNhs13093', 'CNhs12378', 'CNhs13097']
308	['CNhs11260']
309	['CNhs12373', 'CNhs12375', 'CNhs13507', 'CNhs12377', 'CNhs13096']
310	['CNhs10844', 'CNhs11345', 'CNhs12101', 'CNhs12922']
311	['CNhs11349', 'CNhs12104']
312	['CNhs11344', 'CNhs12100', 'CNhs12126', 'CNhs11316']
313	['CNhs10845', 'CNhs11346', 'CNhs12730']
314	['CNhs12492', 'CNhs11347', 'CNhs12102', 'CNhs12127']
315	['CNhs10846']
316	['CNhs11057']
317	['CNhs10850', 'CNhs12197', 'CNhs12012']
318	['CNhs13075']
319	['CNhs11273']
320	['CNhs13535', 'CNhs13536', 'CNhs13547']
321	['CNhs11350', 'CNhs12105']
322	['CNhs11934']
323	['CNhs11258']
324	['CNhs10870', 'CNhs11965', 'CNhs11908']
325	['CNhs12589', 'CNhs12554', 'CNhs12574']
326	['CNhs10859', 'CNhs11957', 'CNhs12001']
327	['CNhs11063', 'CNhs11384']
