GeneID	tissue_spec	tissue_spec_tau
ENSG00000223972.4	0.5896772130525458	0.9864266760847318
ENSG00000227232.4	0.20315424278785377	0.22535340451380007
ENSG00000243485.2	NA	NaN
ENSG00000237613.2	NA	NaN
ENSG00000268020.2	NA	NaN
ENSG00000240361.1	NA	NaN
ENSG00000186092.4	NA	NaN
ENSG00000238009.2	0.213042360870642	0.433593803127531
ENSG00000233750.3	0.48426689052885397	0.97218898511453
ENSG00000237683.5	0.24328459979541273	0.711738205576846
ENSG00000268903.1	0.439994411300037	0.9619512285435133
ENSG00000239906.1	0.30088532753246056	0.8716512393884573
ENSG00000241860.2	0.3270028479187127	0.9026738285258239
ENSG00000222623.1	NA	NaN
ENSG00000241599.1	0.6186220295716853	0.9888926423526264
ENSG00000228463.4	0.22163785998985108	0.5478145464280684
ENSG00000237094.7	0.23309710345080759	0.6495279422036923
ENSG00000250575.1	NA	NaN
ENSG00000233653.3	0.3781240531283403	0.9386473619276505
ENSG00000224813.2	NA	NaN
ENSG00000235249.1	NA	NaN
ENSG00000269732.1	NA	NaN
ENSG00000256186.1	NA	NaN
ENSG00000236601.1	NA	NaN
ENSG00000236743.1	1	1
ENSG00000236679.2	NA	NaN
ENSG00000231709.1	0.22391824922778147	0.5717188555539384
ENSG00000235146.2	NA	NaN
ENSG00000239664.2	NA	NaN
ENSG00000230021.3	0.22159392654100063	0.5473320819500526
ENSG00000223659.1	NA	NaN
ENSG00000225972.1	0.2081949262031193	0.34539114653418485
ENSG00000225630.1	0.2017274833813647	0.18428617668827263
ENSG00000237973.1	0.20208091566184683	0.19480536275388982
ENSG00000229344.1	0.20487303802241041	0.2702816224769268
ENSG00000240409.1	0.20664772389330466	0.3121491764403496
ENSG00000248527.1	0.20048166370814824	0.14523288547636196
ENSG00000198744.5	0.20479550613056907	0.2683526689714107
ENSG00000268663.1	NA	NaN
ENSG00000185097.2	NA	NaN
ENSG00000229376.3	0.23390274162673053	0.6552246484394894
ENSG00000224956.5	0.21077876678588936	0.3951109741851644
ENSG00000235373.1	0.2567268643296753	0.7699785838080578
ENSG00000223181.1	NA	NaN
ENSG00000240618.1	0.23907666672070738	0.688430034405528
ENSG00000229905.1	NA	NaN
ENSG00000228327.2	0.2146090209581264	0.45785199561555195
ENSG00000237491.4	0.23327674116082742	0.6508116100952126
ENSG00000230092.3	0.2158859487756647	0.4763465938513985
ENSG00000269831.1	NA	NaN
ENSG00000240453.1	NA	NaN
ENSG00000177757.1	0.23165901359544971	0.6389630927688893
ENSG00000225880.4	0.21418056117747797	0.4513959271983185
ENSG00000228794.4	0.21273845858901086	0.4286734072321806
ENSG00000230368.2	0.26700256956776913	0.8027823172280152
ENSG00000234711.1	0.334385158046809	0.9094538617533827
ENSG00000269308.1	NA	NaN
ENSG00000272438.1	0.26161853936772195	0.7865977528913999
ENSG00000230699.2	0.2508219493691701	0.7469802020425061
ENSG00000241180.1	NA	NaN
ENSG00000223764.2	0.24459736945460175	0.7184310474168389
ENSG00000187634.6	0.24195996417596854	0.7047174311158027
ENSG00000268179.1	NA	NaN
ENSG00000188976.6	0.20084080491199063	0.15681897015537977
ENSG00000187961.9	0.20876076167981517	0.35686556241519884
ENSG00000187583.6	0.29296609664249496	0.8592956672438068
ENSG00000187642.5	0.30919170782542704	0.8829367004541114
ENSG00000272512.1	0.2229138646539469	0.5614585986116751
ENSG00000188290.6	0.21127335044592943	0.40389377218765893
ENSG00000231702.2	0.27412299867709655	0.8213843679718779
ENSG00000224969.1	0.24605608692828418	0.7255756928422303
ENSG00000187608.5	0.22135581430498386	0.5447020493856213
ENSG00000188157.9	0.21112084863428304	0.40120902381028534
ENSG00000217801.5	0.25745764787720093	0.7725903954702295
ENSG00000273443.1	0.42217290518430084	0.9566000863979631
ENSG00000237330.2	0.3728534291019745	0.9358862044609889
ENSG00000131591.13	0.20486249498828168	0.27001983317292827
ENSG00000223823.1	0.3166653740082336	0.8918751531896234
ENSG00000207730.1	0.34811906279814986	0.9203878102727008
ENSG00000207607.1	0.36400828395448426	0.9308625279666218
ENSG00000198976.1	0.31228030183163424	0.8867584082506378
ENSG00000272141.1	0.267045541368522	0.8029035925957559
ENSG00000205231.1	0.32252582856572276	0.8981993941312116
ENSG00000162571.9	0.31666306081229145	0.8918725445061996
ENSG00000186891.9	0.2577321426082865	0.7735591876799975
ENSG00000186827.6	0.2453446784969654	0.7221286380375027
ENSG00000078808.12	0.20027946847233746	0.13858762474026898
ENSG00000176022.3	0.20364130884205456	0.23856109451374027
ENSG00000184163.3	0.25284951438790326	0.7552791824291969
ENSG00000260179.1	0.21742480630312755	0.4972521490800604
ENSG00000160087.16	0.20133762975373248	0.17240355503507415
ENSG00000230415.1	0.22563095661606247	0.5883118686226362
ENSG00000162572.15	0.21892139473136596	0.5162625105110518
ENSG00000131584.14	0.21141332451051775	0.4063399121267513
ENSG00000169972.7	0.2045753661768892	0.2628274366313745
ENSG00000127054.14	0.20270135387391985	0.21271260033712255
ENSG00000240731.1	0.20833339373080528	0.34823140224400745
ENSG00000224051.2	0.2058168171040421	0.29307673746755375
ENSG00000169962.4	0.26016692066839286	0.7818712217853192
ENSG00000107404.13	0.20228108105899578	0.20065908010181172
ENSG00000162576.12	0.2106863850837537	0.3934459097193188
ENSG00000175756.9	0.19863026415833784	0.08084711716128912
ENSG00000223663.2	0.27137912425964406	0.8145559558061471
ENSG00000221978.7	0.20128134530081854	0.1706632015610534
ENSG00000224870.3	0.2029931477842869	0.22089751056313922
ENSG00000242485.1	0.19887324619200064	0.08977163068846639
