	cluster
ZNF740	50
CUX1	199
CUX2	199
ONECUT2	199
ONECUT3	199
E2F7	65
ELK3	135
ERF	135
ETV1	135
ETV2	135
ETV3	135
ETV4	135
ETV5	135
GATA5	220
GCM2	44
LEF1	214
Tcf7	214
HSF2	126
HSF4	126
IRF7	142
MEF2D	197
MEIS2	99
MEIS3	99
MYBL1	158
MYBL2	159
NFKB2	46
PAX1	23
PAX3	199
PAX9	23
PKNOX1	98
PKNOX2	98
POU1F1	209
POU2F1	209
POU3F1	209
POU3F2	209
POU3F3	209
POU3F4	209
POU4F1	196
POU4F3	196
POU5F1B	209
POU6F2	201
PROX1	125
SMAD3	74
TGIF1	98
TGIF2	98
RFX3	122
RFX4	122
EOMES	92
MGA	92
TBR1	92
TBX15	92
TBX19	91
TBX1	92
TBX4	92
TBX5	92
TEAD3	139
TEAD4	138
TFAP2A.var.2.	55
TFAP2B	55
TFAP2B.var.2.	55
TFAP2B.var.3.	54
TFAP2C.var.2.	55
TFAP2C.var.3.	54
Ascl2	103
BHLHE23	79
BHLHE22	79
CLOCK	112
FIGLA	104
HES5	114
HES7	114
HEY1	114
ID4	104
MNT	112
OLIG1	79
OLIG3	79
SREBF2.var.2.	110
Srebf1.var.2.	110
TCF4	104
TFE3	110
Tcf21	102
ATF4	181
ATF7	179
BATF3	180
CEBPD	175
CEBPE	175
CEBPG	175
CREB3L1	107
Creb5	179
NFE2	170
NRL	185
TEF	176
XBP1	84
FOXB1	206
FOXC2	206
FOXD2	206
FOXO4	206
FOXO6	205
FOXP3	207
Foxj3	206
Foxk1	206
Alx4	201
Alx1	201
RXRB	6
RXRG	6
Rarb	3
Rarb.var.2.	17
Rarg	3
Rarg.var.2.	19
TP73	97
GMEB2	87
MTF1	117
E2F2	183
E2F8	66
SOX21	160
SOX4	161
SOX8	212
Sox11	160
Sox1	162
TFEC	109
TFAP2A.var.3.	54
HOXD12	195
Arx	201
BARX1	201
BSX	201
Barhl1	201
CDX1	196
Dlx1	201
Dlx3	201
Dlx4	201
DLX6	201
Dmbx1	190
DUXA	200
Dlx2	201
EMX2	201
EVX1	201
EVX2	201
GBX1	201
GBX2	201
GSC2	190
GSX1	201
GSX2	201
HESX1	201
HMBOX1	213
Hmx1	201
Hmx2	201
Hmx3	201
HOXA10	196
HOXA2	201
HOXB13	196
HOXB2	201
HOXB3	201
Hoxb5	201
HOXC10	195
HOXC12	195
HOXC13	195
HOXD11	195
HOXD13	196
Hoxd8	196
Hoxa11	195
Hoxd3	201
Hoxd9	196
ISL2	201
Hes1	114
